Date,Open,High,Low,Close,TR1,plusDM1,minusDM1,TR14,plusDM14,minusDM14,plusDI14,minusDI14,diffDI14,sumDI14,DX,ADX,Trend,Direction,Decision
2/11/2014 8:00:00,0.0000024,0.00000244,0.00000233,0.00000241,0.00000011,0,0,0.000002172454112,0.000000897207484,0.000000204969329,41.2992605399415,9.43492098354193,31.8643395563996,50.7341815234834,62.8064523750136,52.2898449879417,newTrend,Up,Buy
2/11/2014 10:00:00,0.00000241,0.0000028,0.00000241,0.00000269,0.00000039,0.00000036,0,0.000002407278818,0.000001193121235,0.000000190328662,49.5630678898803,7.90638213873118,41.6566857511491,57.4694500286115,72.484921519886,53.7323504545092,currentTrend,Up,
2/11/2014 12:00:00,0.00000269,0.00000275,0.00000241,0.00000246,0.00000034,0,0,0.000002575330331,0.00000110789829,0.000000176733758,43.019657563135,6.86256655716322,36.1570910059718,49.8822241202982,72.484921519886,55.0718198163218,currentTrend,Up,
2/11/2014 14:00:00,0.00000246,0.00000247,0.00000245,0.00000246,0.00000002,0,0,0.000002411378164,0.000001028762697,0.000000164109918,42.6628519969515,6.8056483461731,35.8572036507784,49.4685003431246,72.484921519886,56.3156127951478,currentTrend,Up,
11 Feb 22:47,2.66e-06,2.71e-06,2.64e-06,2.68e-06,7e-08,2.4e-07,0,2.30913686657e-06,1.19527964721e-06,1.52387781e-07,51.7630489781,6.59933948507,45.163709493,58.3623884632,77.384957474,57.8205659865,currentTrend,Up,Hold
11 Feb 23:48,2.69e-06,2.76e-06,2.68e-06,2.75e-06,8e-08,5e-08,0,2.22419851896e-06,1.15990252955e-06,1.415029395e-07,52.1492357659,6.36197436038,45.7872614055,58.5112101262,78.2538274404,59.2800846618,currentTrend,Up,Hold
12 Feb 00:48,2.75e-06,2.92e-06,2.73e-06,2.9e-06,1.9e-07,1.6e-07,0,2.25532719618e-06,1.23705234887e-06,1.31395586679e-07,54.8502386246,5.82600994221,49.0242286824,60.6762485668,80.7964068978,60.8169648215,currentTrend,Up,Hold
12 Feb 01:51,2.9e-06,2.92e-06,2.85e-06,2.88e-06,7e-08,0,0,2.16423239645e-06,1.14869146681e-06,1.2201018763e-07,53.0761607991,5.63757329529,47.4385875038,58.7137340944,80.7964068978,62.244067827,currentTrend,Up,Hold
12 Feb 02:51,2.88e-06,2.92e-06,2.87e-06,2.89e-06,5e-08,0,0,2.05964436813e-06,1.06664207632e-06,1.13295174228e-07,51.7876820303,5.50071536527,46.286966665,57.2883973956,80.7964068979,63.5692349035,currentTrend,Up,Hold
12 Feb 03:52,2.88e-06,2.88e-06,2.81e-06,2.84e-06,7e-08,0,6e-08,1.98252691326e-06,9.90453356583e-07,1.65202661783e-07,49.959138005,8.33293412956,41.6262038754,58.2920721345,71.4097172242,64.129269355,currentTrend,Up,Hold
