Date,Open,High,Low,Close,TR1,+DM1,-DM1,TR14,+DM14,-DM14,+DI14,-DI14,DI14 Diff,DI14 Sum,DX,ADX,Trend,Up/Down,Decision,USD,BTC,Value (USD)
2/9/14 3:00,663.89,669.03,660.53,668.81,8.5,4.4,0,145.7825899,24.77343845,60.67845737,16.9934136,41.62256784,24.62915425,58.61598144,42.01781433,26.33515479, ,Down,,1000000,0,1000000
2/9/14 4:00,668.81,680.76,668.65,680.76,12.11,11.73,0,147.4795477,34.73390713,56.34428185,23.55167727,38.20481057,14.6531333,61.75648785,23.72727758,26.14887785,New Trend,Down,Sell,1000000,0,1000000
2/9/14 5:00,680.76,689.26,662.92,666.82,26.34,8.5,0,163.2852943,40.75291376,52.31969029,24.95810412,32.04188748,7.083783368,56.9999916,12.42769195,25.16879314,Current Trend,Down,,1000000,0,1000000
2/9/14 6:00,666.82,668.73,665.08,665.61,3.65,0,0,155.272059,37.84199135,48.58256955,24.37141079,31.28867477,6.917263973,55.66008556,12.42769195,24.25871449,,Down,,1000000,0,1000000
2/9/14 7:00,665.61,679.14,664.86,679.14,14.28,10.41,0,158.4611977,45.54899197,45.11238601,28.74457132,28.46904269,0.275528624,57.21361401,0.48157878,22.56034765,,Up,,1000000,0,1000000
2/9/14 8:00,679.14,688.19,674.19,686.34,14,9.05,0,161.1425407,51.34549254,41.89007273,31.86340015,25.99566356,5.867736588,57.8590637,10.14143025,21.67328212,,Up,,1000000,0,1000000
2/9/14 9:00,686.34,693.65,684.21,686.98,9.44,5.46,0,159.0723592,53.13795736,38.89792467,33.40489676,24.45297528,8.951921477,57.85787204,15.47226188,21.2303521,,Up,,1000000,0,1000000
2/9/14 10:00,686.98,689.45,683.42,684.87,6.03,0,0.79,153.7400478,49.34238898,36.90950148,32.09468819,24.00773383,8.086954356,56.10242203,14.41462608,20.74351453,,Up,,1000000,0,1000000
2/9/14 11:00,684.87,699.8,684.19,696.07,15.61,10.35,0,158.3686159,56.16793262,34.27310852,35.4665805,21.64135131,13.82522919,57.10793181,24.20894743,20.99104545,,Up,,1000000,0,1000000
2/9/14 12:00,696.07,707.16,690.37,703.19,16.79,7.36,0,163.8465719,59.51593744,31.82502934,36.32418839,19.42367727,16.90051112,55.74786566,30.31597877,21.65711212,,Up,,1000000,0,1000000
2/9/14 13:00,703.19,708.79,697.28,701.26,11.51,1.63,0,163.6532453,56.89479905,29.55181296,34.76545726,18.05757833,16.70787893,52.82303559,31.62991059,22.36945487,,Up,,1000000,0,1000000
2/9/14 14:00,701.26,706.96,697.93,698.03,9.03,0,0,160.9937278,52.83088483,27.44096918,32.8154926,17.04474426,15.77074834,49.86023686,31.62991059,23.03091599,,Up,,1000000,0,1000000
2/9/14 15:00,698.03,702.24,683.81,686.6,18.43,0,14.12,167.9241758,49.0572502,39.60089995,29.21392942,23.5826079,5.631321521,52.79653732,10.66608116,22.1477135,,Up,,1000000,0,1000000
2/9/14 16:00,686.6,694.93,685.44,685.55,9.49,0,0,165.4195918,45.5531609,36.77226424,27.53794783,22.22969108,5.308256758,49.76763891,10.66608116,21.32759691,,Up,,1000000,0,1000000
2/9/14 17:00,685.55,697.63,681.96,688.96,15.67,0,3.48,169.2739067,42.29936369,37.62567394,24.98870885,22.22768687,2.761021972,47.21639572,5.847591563,20.22188224,,Up,,1000000,0,1000000
2/9/14 18:00,688.96,702.3,688.7,697.83,13.6,4.67,0,170.7829133,43.94798057,34.9381258,25.73324211,20.45762372,5.275618385,46.19086583,11.42134552,19.59327247,,Up,,1000000,0,1000000
2/9/14 19:00,697.83,696.53,681.53,685.06,16.3,0,7.17,174.8841338,40.8088391,39.61254538,23.33478642,22.6507371,0.684049315,45.98552352,1.487531863,18.30000529,,Up,,1000000,0,1000000
2/9/14 20:00,685.06,692.24,677.19,686.55,15.05,0,4.34,177.44241,37.89392202,41.12307786,21.35561731,23.17545048,1.819833169,44.53106779,4.086659627,17.28476631,,Down,,1000000,0,1000000
2/9/14 21:00,686.55,696.91,673.27,690.31,23.64,4.67,0,188.4079521,39.85721331,38.18571515,21.15474048,20.26757083,0.887169643,41.42231131,2.1417676,16.20312355,,Up,,1000000,0,1000000
2/9/14 22:00,690.31,691.86,675.31,685.05,16.55,0,0,191.5002413,37.0102695,35.45816407,19.32648714,18.51598924,0.810497898,37.84247638,2.1417676,15.19874098,,Up,,1000000,0,1000000
2/9/14 23:00,685.05,685.67,680.6,682.12,5.07,0,0,182.8916526,34.36667882,32.92543806,18.7907312,18.00270138,0.788029818,36.79343258,2.1417676,14.26610002,,Up,,1000000,0,1000000
2/10/14 0:00,681.94,697.28,680.9,696.93,16.38,11.61,0,186.2079631,43.52191605,30.57362106,23.37274696,16.41907282,6.953674145,39.79181978,17.4751348,14.49531679,,Up,,1000000,0,1000000
2/10/14 1:00,696.93,696.55,692.47,694.18,4.46,0,0,177.3673943,40.41320776,28.38979098,22.78502648,16.00620627,6.778820211,38.79123274,17.4751348,14.70816094,,Up,,1000000,0,1000000
2/10/14 2:00,694.18,704.65,693.35,701.07,11.3,8.1,0,175.9982947,45.62655006,26.36194877,25.92442735,14.97852511,10.94590224,40.90295246,26.76066539,15.56905411,,Up,,1000000,0,1000000
2/10/14 3:00,701.07,704.42,698.51,699.6,5.91,0,0,169.336988,42.36751077,24.47895243,25.01964354,14.45576228,10.56388126,39.47540582,26.76066539,16.36845492,,Up,,1000000,0,1000000
2/10/14 4:00,699.6,702.48,696.73,697.67,5.75,0,1.78,162.9914888,39.34126,24.51045583,24.13700267,15.03787468,9.099127986,39.17487734,23.22694697,16.85834721,,Up,,1000000,0,1000000
2/10/14 5:00,697.67,698.1,688.25,691.67,9.85,0,8.48,161.1992396,36.53117,31.23970898,22.66212303,19.37956349,3.28255954,42.04168651,7.807868362,16.21188443,,Up,,1000000,0,1000000
2/10/14 6:00,691.67,701.25,695.62,698.1,9.58,3.15,0,159.2650082,37.07180072,29.0083012,23.27680206,18.21385722,5.062944841,41.49065928,12.20261362,15.92550794,,Up,,1000000,0,1000000
2/10/14 7:00,698.1,700.54,686.32,686.32,14.22,0,9.3,162.1089362,34.42381495,36.23627968,21.23498911,22.35304267,1.118053561,43.58803178,2.565047136,14.97118932,,Down,,1000000,0,1000000
2/10/14 8:00,686.32,688.97,682.61,686.63,6.36,0,3.71,156.8897265,31.96497103,37.35797399,20.37416454,23.81161267,3.437448129,44.18577722,7.779535283,14.45749974,,Down,,1000000,0,1000000
2/10/14 9:00,686.63,686.57,675.22,676.05,11.41,0,7.39,157.0933174,29.68175881,42.07954728,18.89434846,26.78633819,7.891989724,45.68068665,17.27642534,14.65885157,,Down,,1000000,0,1000000
2/10/14 10:00,676.05,681.68,551.32,567.63,130.36,0,123.9,276.2323662,27.56163318,162.9738653,9.977698689,58.99883043,49.02113174,68.97652912,71.06929323,18.68816883,,Down,,1000000,0,1000000
