Date,pri,current_12,current_26,MACD,current_signal,centerlineBS,signallineBS
2/18/2014 1:00:00,624.96,623.3190974,624.1384025,-0.819305061,-1.844236522,Sell,Buy
2/18/2014 2:00:00,628.58,625.9495487,625.2488019,0.700746846,-0.826243175,Buy,Buy
2/18/2014 3:00:00,634.13,630.0397744,627.4691014,2.570672956,0.532523278,Buy,Buy
2/18/2014 4:00:00,634.99,632.5148872,629.3493261,3.165561127,1.585738417,Buy,Buy
2/18/2014 5:00:00,634.27,633.3924436,630.5794945,2.812949051,2.076622671,Buy,Buy
2/18/2014 6:00:00,628.71,631.0512218,630.1121209,0.939100891,1.621613959,Buy,Sell
2/18/2014 7:00:00,628.75,629.9006109,629.7715907,0.129020219,1.024576463,Buy,Sell
2/18/2014 8:00:00,623.94,626.9203054,628.313693,-1.39338756,0.057390854,Sell,Sell
2/18/2014 9:00:00,626.02,626.4701527,627.7402698,-1.270117032,-0.473612301,Sell,Sell
2/18/2014 10:00:00,626.98,626.7250764,627.5502023,-0.825125955,-0.614217762,Sell,Sell
2/18/2014 11:00:00,625.88,626.3025382,627.1326517,-0.830113557,-0.70057608,Sell,Sell
2/18/2014 12:00:00,623.32,624.8112691,626.1794888,-1.368219713,-0.967633533,Sell,Sell
2/18/2014 13:00:00,616.36,620.5856345,623.7246166,-3.138982057,-1.836172943,Sell,Sell
2/18/2014 14:00:00,617,618.7928173,622.0434625,-3.250645179,-2.401961837,Sell,Sell
2/18/2014 15:00:00,619.73,619.2614086,621.4650968,-2.203688203,-2.322652384,Sell,Buy
2/18/2014 16:00:00,609.84,614.5507043,618.5588226,-4.008118311,-2.996838755,Sell,Sell
2/18/2014 17:00:00,616.77,615.6603522,618.111617,-2.451264813,-2.778609178,Sell,Buy
18 Feb 18:00,619.13,617.3951761,618.3662127,-0.9710366,-2.0555802,Sell,Buy
18 Feb 19:00,618.33,617.86258805,618.357159525,-0.494571475,-1.43117671,Sell,Buy
18 Feb 20:07,613.9275,615.895044025,617.249744644,-1.35470061875,-1.4005862735,Sell,Buy
18 Feb 21:14,617.02,616.457522013,617.192308483,-0.7347864705,-1.1342663523,Sell,Buy
18 Feb 22:21,618.5125,617.485011007,617.522356362,-0.0373453557501,-0.69549795368,Sell,Buy
18 Feb 23:28,621.4225,619.453755504,618.497392271,0.956363232,-0.034753479408,Buy,Buy
19 Feb 00:35,620.765,620.109377752,619.064294203,1.04508354875,0.397181331855,Buy,Buy
19 Feb 01:42,619.2325,619.670938876,619.106345652,0.56459322375,0.464146088613,Buy,Buy
19 Feb 02:49,618.235,618.952969438,618.888509239,0.0644601990001,0.304271732768,Buy,Sell
19 Feb 03:56,620.9525,619.952734719,619.404506929,0.54822778975,0.401854155561,Buy,Buy
19 Feb 05:03,616.51,618.231367359,618.680880197,-0.44951283725,0.0613073584366,Sell,Sell
19 Feb 06:10,617.3725,617.80193368,618.353785148,-0.55185146825,-0.183956172238,Sell,Sell
19 Feb 07:17,616.715,617.25846684,617.944088861,-0.685622021,-0.384622511743,Sell,Sell
19 Feb 08:24,616.7425,617.00048342,617.643691646,-0.64320822575,-0.488056797346,Sell,Sell
19 Feb 09:31,615.4725,616.23649171,617.100893735,-0.8644020245,-0.638594888208,Sell,Sell
19 Feb 10:38,612.8575,614.546995855,616.040045301,-1.49304944625,-0.980376711425,Sell,Sell
19 Feb 11:45,615.5775,615.062247928,615.924408976,-0.86216104825,-0.933090446155,Sell,Buy
19 Feb 12:52,614.76,614.911123964,615.633306732,-0.722182768,-0.848727374893,Sell,Buy
19 Feb 13:59,618.46,616.685561982,616.339980049,0.345581933,-0.371003651736,Buy,Buy
