Date,Open,High,Low,Close
"2010-07-18 01:00:00",0.05,0.09,0.06,0.09
"2010-07-28 01:00:00",0.06,0.06,0.05,0.06
"2010-08-07 01:00:00",0.06,0.06,0.06,0.06
"2010-08-17 01:00:00",0.07,0.08,0.06,0.07
"2010-08-27 01:00:00",0.06,0.07,0.06,0.07
"2010-09-06 01:00:00",0.06,0.06,0.06,0.06
"2010-09-16 01:00:00",0.06,0.06,0.06,0.06
"2010-09-26 01:00:00",0.06,0.06,0.06,0.06
"2010-10-06 01:00:00",0.06,0.06,0.06,0.06
"2010-10-16 01:00:00",0.11,0.1,0.1,0.1
"2010-10-26 01:00:00",0.13,0.18,0.13,0.15
"2010-11-05 00:00:00",0.23,0.26,0.21,0.26
"2010-11-15 00:00:00",0.28,0.28,0.27,0.27
"2010-11-25 00:00:00",0.28,0.28,0.28,0.28
"2010-12-05 00:00:00",0.21,0.24,0.19,0.19
"2010-12-15 00:00:00",0.25,0.25,0.24,0.24
"2010-12-25 00:00:00",0.25,0.25,0.25,0.25
"2011-01-04 00:00:00",0.3,0.3,0.29,0.3
"2011-01-14 00:00:00",0.32,0.45,0.32,0.4
"2011-01-24 00:00:00",0.44,0.44,0.38,0.42
"2011-02-03 00:00:00",0.72,0.75,0.65,0.69
"2011-02-13 00:00:00",1.08,1.08,1.02,1.05
"2011-02-23 00:00:00",0.87,0.95,0.87,0.9
"2011-03-05 00:00:00",0.9,0.92,0.81,0.91
"2011-03-15 00:00:00",0.89,0.89,0.87,0.87
"2011-03-25 00:00:00",0.87,0.89,0.86,0.88
"2011-04-04 01:00:00",0.78,0.79,0.56,0.68
"2011-04-14 01:00:00",0.92,1,0.91,1
"2011-04-24 01:00:00",1.7,1.95,1.6,1.63
"2011-05-04 01:00:00",3.41,3.58,3.25,3.41
"2011-05-14 01:00:00",8.2,8.9,5.83,7.2
"2011-05-24 01:00:00",7.15,7.51,6.96,7.42
"2011-06-03 01:00:00",10.6,14.5,10.58,14.29
"2011-06-13 01:00:00",18.55,24.5,16,19.84
"2011-06-23 01:00:00",17.51,17.51,17.51,17.51
"2011-07-03 01:00:00",15.4,15.69,15.31,15.44
"2011-07-13 01:00:00",14.01,14.15,13.91,13.95
"2011-07-23 01:00:00",13.7,13.76,13.51,13.68
"2011-08-02 01:00:00",13.09,13.1,11.5,12.05
"2011-08-12 01:00:00",9.46,9.8,8.91,9.46
"2011-08-22 01:00:00",11.31,11.5,10.51,10.9
"2011-09-01 01:00:00",8.2,8.36,8.1,8.21
"2011-09-11 01:00:00",4.77,7.4,4.6,5.86
"2011-09-21 01:00:00",6.11,6.29,5.06,5.61
"2011-10-01 01:00:00",5.14,5.25,4.86,5.03
"2011-10-11 01:00:00",4.1,4.1,3.85,3.93
"2011-10-21 01:00:00",2.35,2.72,2.33,2.57
"2011-10-31 00:00:00",3.27,3.32,3.07,3.25
"2011-11-10 00:00:00",2.95,2.97,2.8,2.84
"2011-11-20 00:00:00",2.2,2.5,2.15,2.2
"2011-11-30 00:00:00",2.75,3.09,2.73,2.97
"2011-12-10 00:00:00",2.97,3.13,2.93,3.05
"2011-12-20 00:00:00",3.52,4.5,3.48,3.95
"2011-12-30 00:00:00",4.17,4.3,4.06,4.25
"2012-01-09 00:00:00",7.11,7.19,5.81,6.33
"2012-01-19 00:00:00",5.92,6.36,5.87,6.36
"2012-01-29 00:00:00",5.63,5.7,5.33,5.38
"2012-02-08 00:00:00",5.69,5.85,5.3,5.6
"2012-02-18 00:00:00",4.41,4.5,4.12,4.22
"2012-02-28 00:00:00",4.96,5,4.74,4.87
"2012-03-09 00:00:00",4.93,4.95,4.82,4.86
"2012-03-19 00:00:00",5.28,5.31,4.5,4.69
"2012-03-29 01:00:00",4.79,4.86,4.71,4.81
"2012-04-08 01:00:00",4.69,4.8,4.62,4.79
"2012-04-18 01:00:00",4.98,5.18,4.96,5.12
"2012-04-28 01:00:00",5.11,5.11,4.85,4.98
